"slug","symbol","name","date","ranknow","open","high","low","close","volume","market","close_ratio","spread"
"bitcoin","BTC","Bitcoin",2013-12-31,1,760.32,760.58,738.17,754.01,20897300,9268240000,0.7068,22.41
"bitcoin","BTC","Bitcoin",2014-01-01,1,754.97,775.35,754.97,771.4,22489400,9203030000,0.8062,20.38
"bitcoin","BTC","Bitcoin",2014-01-02,1,773.44,820.31,767.21,802.39,38489500,9428180000,0.6625,53.1
"bitcoin","BTC","Bitcoin",2014-01-03,1,802.85,834.15,789.12,818.72,37810100,9786680000,0.6573,45.03
"bitcoin","BTC","Bitcoin",2014-01-04,1,823.27,859.51,801.67,859.51,38005000,10035600000,1,57.84
"bitcoin","BTC","Bitcoin",2014-01-05,1,858.55,952.4,854.52,933.53,72898500,10465700000,0.8072,97.88
"bitcoin","BTC","Bitcoin",2014-01-06,1,936.05,1017.12,905.71,953.29,85565700,11410400000,0.4271,111.41
