"slug","symbol","name","date","ranknow","open","high","low","close","volume","market","close_ratio","spread"
"bitcoin","BTC","Bitcoin",2013-12-24,1,672.36,684.39,645.71,665.58,0,8179730000,0.5137,38.68
"bitcoin","BTC","Bitcoin",2013-12-25,1,666.31,682.7,649.48,682.21,0,8108930000,0.9852,33.22
"bitcoin","BTC","Bitcoin",2013-12-26,1,683.94,777.75,683.94,761.98,0,8326270000,0.8319,93.81
"bitcoin","BTC","Bitcoin",2013-12-27,1,763.28,777.51,713.6,735.07,46862700,9295570000,0.3359,63.91
"bitcoin","BTC","Bitcoin",2013-12-28,1,737.98,747.06,705.35,727.83,32505800,8990850000,0.539,41.71
"bitcoin","BTC","Bitcoin",2013-12-29,1,728.05,748.61,714.44,745.05,19011300,8872600000,0.8958,34.17
"bitcoin","BTC","Bitcoin",2013-12-30,1,741.35,766.6,740.24,756.13,20707700,9037000000,0.6028,26.36
